,review_id,username,user_image,rating,review_text,thumbs_up_count,review_date,app_version,replied_at,reply_content,lang,app_name
127,ce8b5b00-ab32-41b8-a2b6-976063735ea9,Hasnayen Ahmed (Jabi),https://play-lh.googleusercontent.com/a-/ALV-UjWikzMiVVHz4n51_LreyGBeWkPTnQBvQDSqPGSd0qS7RK2rxYyj,1,"ফালতু 😡😠 আমার রকেট আছে ১০ বছর ধরে, আজকে Apps এ login করবো, তার জন্যে ফালতু IVR কল লাগবে ক্যান ভাই? বিকাশ-নগদে তো এগুলা লাগে না!!! sim এ IVR কল টা ঢুকে, আর sim এর নেট চলে যায় 😠, পরে নেট যখন আসে, তখন OTP আসে না। আর আবার ফালতু ডলার-সাইন দিয়ে লিখা আসে: $-msg-error$ এসব কারণেই বালের এই রকেট চালাই না, ফালতু 😤😡 জাহান্নামে যা তোরা রকেট দিয়া 😠😡😤😡",0,2026-06-02 19:44:14,3.1.1,,,en,Rocket
128,61b1dcba-52f7-4374-8d1f-94a9a8ce0908,Muhammad Husam,https://play-lh.googleusercontent.com/a/ACg8ocLlgImsKQXTjxVHf35vBJI_Jc3gSuQlnpsA8yYO7VZFgQHOyg=mo,5,goot,0,2026-06-02 18:01:14,,,,en,Rocket
129,3e03f020-f969-479f-b6f5-8815b4b8d87d,HASAN UDDIN HASIB,https://play-lh.googleusercontent.com/a-/ALV-UjWmLdxTCDoBFty-NWiltzfhluMSunpEREEuAEXu38TtZ017KPE,2,স্টেটমেন্ট ডাউনলোড অপশন টা অ্যাপে চাই।,0,2026-06-02 17:59:15,3.1.1,,,en,Rocket
130,b002b13a-8a3c-4cec-88a5-2ac2b5e8987f,Tanjila Akhtar Tanjila Akhtar,https://play-lh.googleusercontent.com/a-/ALV-UjWeCz-O4GCtTORzIjYgMRvTxIwZrEznqJddD1IDmpppggPMgw,5,Thank you,0,2026-06-02 08:15:01,,,,en,Rocket
131,9607a34c-c184-42b6-9db8-a5138adbca61,Robin Hasan,https://play-lh.googleusercontent.com/a/ACg8ocLRbVzHXxoYIWpmVUAh8VCjP0VxNjEhQMKF2uNfgK-Upvhbr_ld=mo,5,হাইথণবতণণণগগথদথীচচুউঈডরদৈঐঊউঙঙণত,0,2026-06-01 22:08:58,3.1.1,,,en,Rocket
132,4fc2cd60-9615-4658-8c8b-9deae294ebd8,Md ramzan,https://play-lh.googleusercontent.com/a/ACg8ocKDi4pYaKQKTl2uJFQi664fLbKHc2fMHFbEE0QzJflHcWv5NQ=mo,5,dharun,0,2026-06-01 21:56:38,3.1.1,,,en,Rocket
133,456be6db-c373-45a4-8217-0ccc2fcabe92,Md. Mizanur Rahman Student,https://play-lh.googleusercontent.com/a/ACg8ocKb7wMmdzmBggEoIWYcfmcCJ45FxrYkJijz_-ayZDSz5H5uJw=mo,5,So good this apps,0,2026-06-01 14:45:08,3.1.0,,,en,Rocket
134,440e58ee-5490-496e-9af3-11751c89ff48,Haidar Ali,https://play-lh.googleusercontent.com/a-/ALV-UjVX5wGrmLsHIu9gzVLOZk-yGXb2KLN32XNx1IQ81FQXAJAKwyI,5,doog,0,2026-06-01 13:31:58,,,,en,Rocket
135,1f3a5a96-96bf-4139-bc6e-21d3ab16b311,Montair Residon,https://play-lh.googleusercontent.com/a/ACg8ocLc7h6e_om4TMZp0T5Eby8uk-2wv08LuFQ0fH1ldYccBCW8ZA=mo,1,I can't login my rocket account in this. Wh I try to login and reinstall it. there is same thing skip & Done. those are not working.,0,2026-06-01 00:40:31,,,,en,Rocket
136,92841827-0841-4452-a8c4-4d3f11c9eb55,Neloy Roy,https://play-lh.googleusercontent.com/a-/ALV-UjWgbiyQHt-EbH5CqQgprudHYs8oJ-D2YNK85THTiXCTL5860Ggh,5,impressive,0,2026-05-31 21:04:41,,,,en,Rocket
137,5eb98210-3b99-424d-9781-216cba69633f,Anik King,https://play-lh.googleusercontent.com/a/ACg8ocKfLp1nHwwqVRmqThmMfHiM-9StWegDVIRpQAm5BI2eToGQPw=mo,5,udueueh,0,2026-05-31 19:29:12,,,,en,Rocket
138,2bfeff0e-d4ee-4d37-a101-9fad81f4eb80,MD LITON MIA,https://play-lh.googleusercontent.com/a-/ALV-UjUSPcSGrGffv1359dlilsnn_AIBdU6E6jofac3QaogYy6SiXQxn,5,নাইস,1,2026-05-31 15:43:58,,,,en,Rocket
139,95b87a3d-32ee-408f-9038-7d3d3144f2f0,Mr Saiful Islam,https://play-lh.googleusercontent.com/a-/ALV-UjUTdT7ew-Hm_5mGBckQQ1TUk8ZHsCd7Ls4cUunXs7ePPYYa0-Yg,5,best,0,2026-05-31 14:13:45,3.1.1,,,en,Rocket
140,a7442890-9e22-4422-a519-7b2ef1a0147d,mithun roy,https://play-lh.googleusercontent.com/a-/ALV-UjUDBGDsk17EqIPomhkid67jEPsasENv89OkTVm5nxMV21CGqNCA,5,super,0,2026-05-31 12:40:25,3.1.1,,,en,Rocket
141,9fac1950-c184-4721-81e2-a7de7ad36619,Rahim,https://play-lh.googleusercontent.com/a/ACg8ocL4aKhFANq9wnWm0mUzPuZxCByoMZmAdj8_Jv8QxiRoGD68gQ=mo,5,rocket is easy use for money,0,2026-05-31 10:55:37,,,,en,Rocket
142,94de6fc9-37bc-4eca-9827-bc9204edc7f9,Farhan ahmed Rabby,https://play-lh.googleusercontent.com/a-/ALV-UjXMQqSeQ0EAn-HPbzVJpAyAVdyHeRil3utXHpaq4TvtPEbZjNA9,5,good,0,2026-05-31 10:18:52,3.1.1,,,en,Rocket
143,6e05d634-9d6a-4133-aca7-82c1a28cd90e,Md Dilmuhammad,https://play-lh.googleusercontent.com/a-/ALV-UjXaYsJ0fOySexb_4HGmWrIiLuWarb_ZrgA-OnNVa0AggjaX297W,1,"ফোন নাম্বার সেভ ছাড়া রিচার্জ হচ্ছে না,, তাদের অফিসে কল দিলে ১০ মিনিট রিং হলেও কল ধরে না🥶🥶🥶",0,2026-05-31 07:29:33,3.1.1,,,en,Rocket
144,ddaa8ff5-327b-47a8-9c51-3cc9e1c93a43,Freelancer Arfan,https://play-lh.googleusercontent.com/a/ACg8ocK6Ym-rPMyqW9C96Ey9B-5ezgkinst4MTpBBaTKt2AAc7W4dA=mo,5,😍,0,2026-05-31 03:27:22,,,,en,Rocket
145,fd5847d3-543c-41de-b439-455e4bcc658f,T.H.M Monir,https://play-lh.googleusercontent.com/a-/ALV-UjUtRLYZSOSLS9URpkljAg4ng4M7eoH7-fWznTKP2YinZ-2QPNky,3,nice,0,2026-05-31 02:33:10,3.1.1,,,en,Rocket
146,7dd7373d-35ea-405d-970f-5c557210d77a,Sobuj Shahanaj,https://play-lh.googleusercontent.com/a-/ALV-UjXqrwm8dPzXptX8O2xkJGhe4Bgs5_M3-I2R8RF-KKSaKrYiw5U,5,nice,0,2026-05-30 13:04:40,3.1.1,,,en,Rocket
147,f5f4763c-d96d-4e52-90f0-50cbff73d2b9,Ak Akashmedia,https://play-lh.googleusercontent.com/a-/ALV-UjWAT3AtdOfNTj_Gtutv2cNBczo4tmALDd15Bbu7au1FyQjV_p1B,3,good,0,2026-05-29 23:48:18,,,,en,Rocket
